name,author,narrator,time,releasedate,language,stars,price
Mountain Mare,Terri Farley,Natalie Budig,235,2022-01-25,English,4.46,398
The Princess in Black and the Mermaid Princess,"Shannon Hale, Dean Hale",Julia Whelan,20,2022-01-02,English,4.46,352
The Vanishing Statue,Carolyn Keene,Jorjeana Marie,245,2020-06-16,English,5.0,305
Eye of the Earthquake Dragon,Tracey West,Emily Ellet,45,2020-04-08,English,5.0,164
Peril at Granite Peak,Franklin W.Dixon,Tim Gregory,210,2016-01-21,English,5.0,305
Barbie - Aventura espacial,"Mattel, Marta Cisa Muñoz-traductor",Miriam Monlleo,12,2022-02-02,Catalan,4.46,76
The Disappearance of Emily Downs,C.J.Redwine,Mia Sinclair Jenness,296,2021-09-30,English,5.0,"1,003"
The Solution,Katherine Applegate,Emily Ellet,174,2021-02-11,English,4.46,656
The Great Greenfield Bake-Off,Gertrude Chandler Warner,Aimee Lilly,101,2021-01-09,English,4.46,234
Into Thin Air,Franklin W.Dixon,Tim Gregory,159,2016-01-21,English,5.0,305
Once upon a Thriller,Carolyn Keene,Jorjeana Marie,141,2015-09-24,English,5.0,305
The Magician's Nephew,C.S.Lewis,Kenneth Branagh,235,2005-08-29,English,5.0,303
Leonora Bolt: Secret Inventor,Lucy Brandt,Nicole Davis,175,2022-01-20,English,4.46,410
The Snail and the Whale,Julia Donaldson,Imelda Staunton,23,2008-07-10,English,5.0,323
Tigers for Dinner,Ruskin Bond,Adnan Kapadia,39,2017-01-01,English,4.5,284
The Hidden Kingdom,Tui T.Sutherland,Shannon Mc Manus,454,2016-01-07,English,5.0,575
Eagle Strike,Anthony Horowitz,Oliver Chris,417,2021-05-20,English,5.0,569
Captain Marvel - Ultron blir viral,"Marvel, Camilla Dunér",Malin Lybeck,11,2022-11-01,Swedish,4.46,32
Toy Story 4,"Disney, Oskar Blomberg",Frederick Halbout,147,2022-07-01,Swedish,4.46,166
Three Lost Seeds,"Stephie Morton, Nicole Wong-illustrator",Steven Jay Cohen,13,2022-08-02,English,4.46,234
Mystery on the Mayhem Express,Franklin W.Dixon,Tim Gregory,238,2021-06-22,English,5.0,305
Tunnel of Secrets,Franklin W.Dixon,Tim Gregory,183,2015-02-11,English,5.0,305
Barbie - La puerta secreta,"Mattel, Nicolás Olucha Sánchez",Beatriz Olcina,11,2021-11-29,Spanish,4.46,38
A scuola con Pongo e Tim: Henry Every,Giulia Segreti,"Giulia Segreti, Marco Cognigni",11,2022-09-02,Italian,4.46,75
Black Panther: Spellbound,Ronald L.Smith,Dion Graham,338,2022-01-02,English,4.46,469
"The 39 Clues: Unstoppable, Book 3",Natalie Standiford,David Pittu,289,2014-01-05,English,4.5,410
Hello Kitty - El Club de la Amistad,"Sanrio, Neus Casanova Vico",Eva Andrés,42,2021-10-11,Spanish,4.46,76
Treasure Island,Robert Louis Stevenson,Sam Taylor,404,2019-06-09,English,4.0,32
